source_language,target_language,source_text,target_text,table_name,source_comment,weight
uk,en,Бісопролол-Лугал,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісопролола геміфумарат,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісопролола стеарилфумарат,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісопролола фумарат,bisoprolol,UTIS,http://utis.in.ua/bisoprolol/,3
uk,en,Бісфенол,bisphenol-a,UTIS,http://utis.in.ua/bisphenol-a/,3
uk,en,Бісфенол А,bisphenol-a,UTIS,http://utis.in.ua/bisphenol-a/,3
uk,en,Бітартрат гідрокодону,hydrocodone,UTIS,http://utis.in.ua/hydrocodone/,3
uk,en,Біфеніли поліхлоровані,polychlorinated-biphenyls,UTIS,http://utis.in.ua/polychlorinated-biphenyls/,3
uk,en,Біцилін,penicillin-g,UTIS,http://utis.in.ua/penicillin-g/,3
uk,en,Бланоксан,bleomycin,UTIS,http://utis.in.ua/bleomycin/,3
uk,en,Бленоксан,bleomycin,UTIS,http://utis.in.ua/bleomycin/,3
uk,en,Блеокаміцин,bleomycin,UTIS,http://utis.in.ua/bleomycin/,3
uk,en,Блеоміцин,bleomycin,UTIS,http://utis.in.ua/bleomycin/,3
uk,en,Блеоцин,bleomycin,UTIS,http://utis.in.ua/bleomycin/,3
uk,en,Блискавка,electric-current-and-pregnancy,UTIS,http://utis.in.ua/electric-current-and-pregnancy/,3
uk,en,Блінатумомаб,blinatumomab,UTIS,http://utis.in.ua/blinatumomab/,3
uk,en,Блокадрен,timolol,UTIS,http://utis.in.ua/timolol/,3
uk,en,Блошина м’ята,mentha-pulegium,UTIS,http://utis.in.ua/mentha-pulegium/,3
uk,en,Блювота вагітних,toxicosis,UTIS,http://utis.in.ua/toxicosis/,3
uk,en,Бозентан,bosentan,UTIS,http://utis.in.ua/bosentan/,3
uk,en,Бозуліф,bosutinib,UTIS,http://utis.in.ua/bosutinib/,3
uk,en,Бозутиніб,bosutinib,UTIS,http://utis.in.ua/bosutinib/,3
uk,en,Болотна лихоманка та вагітність,malaria,UTIS,http://utis.in.ua/malaria/,3
uk,en,Болотна м’ята,mentha-pulegium,UTIS,http://utis.in.ua/mentha-pulegium/,3
uk,en,Аліскірен,aliskiren,UTIS,http://utis.in.ua/%d0%b0liskiren/,3
uk,en,Алісума,sumatriptan,UTIS,http://utis.in.ua/sumatriptan/,3
uk,en,Алкеран,melphalan,UTIS,http://utis.in.ua/melphalan/,3
uk,en,Алклометазон,alclometasone,UTIS,http://utis.in.ua/alclometasone/,3
uk,en,Алкоголь,alcohol,UTIS,http://utis.in.ua/alcohol/,3
uk,en,Алкоголь та вагітність,alcohol,UTIS,http://utis.in.ua/alcohol/,3
uk,en,Алкогольний фетальний синдром,alcohol,UTIS,http://utis.in.ua/alcohol/,3
uk,en,Алкогольний фетальний спектр порушень,alcohol,UTIS,http://utis.in.ua/alcohol/,3
uk,en,Аллерган,promethazine,UTIS,http://utis.in.ua/promethazine/,3
